state,year,office,incvoteshare,demvotes,repvotes,incparty,incpres,same_inc_pres,oct_unemployment,inc_cash_share,,
VA,1977,G,0.56367094,541319,699302,R,D,0,5.4,0.7054971,,
VA,1981,G,0.46444492,760357,659398,R,R,1,6.3,0.5363033,,
VA,1985,G,0.55203895,741438,601652,D,R,0,5.3,0.5171296,,
VA,1989,G,0.50188598,896936,890195,D,R,0,4.0,0.5196970,,
VA,1993,G,0.41236116,733527,1045319,D,D,1,5.0,0.5433510,,
VA,1997,G,0.56735555,738971,969062,R,D,0,3.1,0.5851540,,
VA,2001,G,0.47409896,984177,887234,R,R,1,4.0,0.3656610,,
VA,2005,G,0.52930837,1025942,912327,D,R,0,3.7,0.4555010,,
VA,2009,G,0.41308302,818909,1163523,D,D,1,7.3,0.4283830,,
VA,2013,G,0.48645436,1069789,1013354,R,D,0,5.5,0.3571506,,
VA,2017,G,0.54515522,1409175,1175731,D,R,0,3.5,0.5814743,,
NJ,1977,G,0.57130263,1184564,888880,D,D,1,8.5,0.5038272,,
NJ,1981,G,0.49960724,1144205,1146004,D,R,0,7.6,0.4999916,,
NJ,1985,G,0.70354064,578402,1372631,R,R,1,5.5,0.5328742,,
NJ,1989,G,0.37798367,1379937,838553,R,R,1,4.4,0.4957630,,
NJ,1993,G,0.49466653,1210031,1236124,D,D,1,7.3,0.4953970,,
NJ,1997,G,0.50567200,1107968,1133394,R,D,0,5.1,0.5078650,,
NJ,2001,G,0.42669356,1229818,915314,R,R,1,4.8,0.4946660,,
NJ,2005,G,0.54600087,1150687,956795,D,R,0,4.6,0.6711440,,
NJ,2009,G,0.48083394,1087731,1174445,D,D,1,9.8,0.7026250,,
NJ,2013,G,0.61224849,809978,1278932,R,D,0,7.8,0.7958578,,
NJ,2017,G,0.42782422,1203110,899583,R,R,1,4.6,0.2505275,,