year,race,demvotes,repvotes,deminc,incrunning,gdp_y4,gdp_y3,gdp_y2,gdp_y1,war,consecutive,unemployment,ch_unemployment,incpoll_Jun_Jul,incpoll_Aug_Sep,incpoll_Oct_Nov,incvoteshare,,
1948,P,24179347,21991292,1,1,4.0999999,-1.1,-11.6,-1,0,4,3.8,2.5999999,0.43603787,0.44618332,0.47368422,0.52369529,,
1952,P,27375090,34075529,1,0,4.0999999,8.1000004,8.6999998,-0.5,1,5,3,-0.80000001,0.40340501,0.42406797,0.43713745,0.44548112,,
1956,P,26028028,35579180,0,1,2.0999999,7.0999999,-0.60000002,4.6999998,0,1,4.0999999,1.1,0.63081211,0.56116569,0.55434781,0.57751656,,
1960,P,34220984,34108157,0,0,2.5999999,6.9000001,-0.69999999,2.0999999,0,2,5.5,1.4,0.52083337,0.49199295,0.51568866,0.49917436,,
1964,P,43127041,27175754,1,1,5.8000002,4.4000001,6.0999999,2.5999999,1,1,5.1999998,-0.30000001,0.74057353,0.68085104,0.66408598,0.61344701,,
1968,P,31271839,31783783,1,0,4.9000001,2.7,6.5999999,6.5,1,2,3.5999999,-1.6,0.51738614,0.40060931,0.47205883,0.49594054,,
1972,P,29173222,47168710,0,1,5.1999998,3.3,0.2,3.0999999,1,1,5.5999999,2,0.59551972,0.65917152,0.62645018,0.61786109,,
1976,P,40831881,39148634,0,1,5.4000001,-0.2,-0.5,5.5999999,0,2,7.6999998,2.0999999,0.36042762,0.40848219,0.48673141,0.48947716,,
1980,P,35480115,43903230,1,1,-0.2,3.2,5.5999999,4.5999999,0,1,7.0999999,-0.60000002,0.49833924,0.53387153,0.48565325,0.44694659,,
1984,P,37577352,54455472,0,1,7.3000002,4.5999999,-1.9,2.5999999,0,1,7.5,0.40000001,0.56405187,0.58923078,0.59454679,0.59169620,,
1988,P,41809074,48886097,0,0,4.1999998,3.5,3.5,4.1999998,0,2,5.5,-2,0.44149727,0.51135755,0.55777776,0.53901541,,
1992,P,44909806,39104550,0,1,3.5999999,-0.1,1.9,3.7,0,3,7.5,2,0.478441,0.42728657,0.42968935,0.46545082,,
1996,P,47401185,39197469,1,1,3.8,2.7,4,2.7,0,1,5.4000001,-2.0999999,0.59606868,0.59666967,0.59097445,0.54736632,,
2000,P,50999897,50456002,1,0,4.0999999,4.6999998,4.5,4.5,0,2,4,-1.4,0.45748031,0.5046488,0.48287514,0.50268042,,
2004,P,59028444,62040610,0,1,3.8,2.8,1.8,1,1,1,5.5,1.5,0.49444246,0.52475643,0.51245701,0.51243985,,
2008,P,69498516,59948323,0,0,-0.30000001,1.8,2.7,3.3,1,2,5.8000002,0.30000001,0.47852683,0.48635918,0.44545454,0.46311152,,
2012,P,65915796,60933500,1,1,2.3,1.6,2.5,-2.8,1,1,8.1000004,2.3,0.51274091,0.51603371,0.50631577,0.51963866,,
2016,P,65853516,62984825,1,0,1.6,2.5999999,2.4000001,1.7,1,2,4.9000001,-3.2,0.50758338,0.52236742,0.55434781,0.51113290,,
2020,P,81268924,74216154,0,1,-3.5,2.2,3,2.3,1,1,8.4,3.4999999,0.4543251,0.4579028,0.45266490,0.47732011,,
2018,AZ G,994341,1330863,0,,,,,,,,,,,,0.58010335,0.57236397,,
2018,AR G,283218,582406,0,,,,,,,,,,,,0.67097264,0.67281637,,
2018,CA G,7721410,4742825,1,,,,,,,,,,,,0.58796603,0.61948527,,
2018,CO G,1348888,1080801,1,,,,,,,,,,,,0.54390498,0.55516899,,
2018,CT G,694510,650138,1,,,,,,,,,,,,0.52978381,0.51649949,,
2018,FL G,4043723,4076186,0,,,,,,,,,,,,0.48076846,0.50199898,,
2018,GA G,1923685,1978408,0,,,,,,,,,,,,0.50639230,0.50701201,,
2018,IL G,2479746,1765751,0,,,,,,,,,,,,0.39416700,0.41591149,,
2020,IN G,968106,1706739,0,,,,,,,,,,,,0.67833200,0.63807024,,
2018,IA G,630986,667275,0,,,,,,,,,,,,0.48723037,0.51397600,,
2018,KS G,506727,453645,0,,,,,,,,,,,,0.49695500,0.47236383,,
2019,KY G,709890,704754,0,,,,,,,,,,,,0.48021400,0.49818470,,
2019,LA G,774498,734286,1,,,,,,,,,,,,0.51698174,0.51332596,,
2018,ME G,320962,272311,0,,,,,,,,,,,,0.44336400,0.45899780,,
2018,MD G,1002639,1275644,0,,,,,,,,,,,,0.60428700,0.55991464,,
2018,MA G,885770,1781341,0,,,,,,,,,,,,0.71584200,0.66789159,,
2018,MI G,2266193,1859534,0,,,,,,,,,,,,0.44888030,0.45071669,,
2018,MN G,1393096,1097705,1,,,,,,,,,,,,0.56125026,0.55929639,,
2019,MS G,414368,459396,0,,,,,,,,,,,,0.50993322,0.52576668,,
2020,MO G,1225771,1720202,0,,,,,,,,,,,,0.53096952,0.58391642,,
2020,MT G,250860,328548,1,,,,,,,,,,,,0.47469980,0.43295916,,
2018,NV G,480007,440320,0,,,,,,,,,,,,0.50505858,0.47843864,,
2020,NH G,264639,516609,0,,,,,,,,,,,,0.60897600,0.66126121,,
2018,NH G,262359,302764,0,,,,,,,,,,,,0.54326100,0.53574885,,
2018,NM G,398368,298091,0,,,,,,,,,,,,0.45352270,0.42800940,,
2018,NY G,3635340,2207602,1,,,,,,,,,,,,0.61276700,0.62217629,,
2020,NC G,2834790,2586605,1,,,,,,,,,,,,0.55401744,0.52288940,,
2018,OH G,2070046,2235825,0,,,,,,,,,,,,0.49253990,0.51925034,,
2018,OK G,500973,644579,0,,,,,,,,,,,,0.52535100,0.56267983,,
2018,OR G,934498,814988,1,,,,,,,,,,,,0.52498500,0.53415575,,
2018,PA G,2895662,2039899,1,,,,,,,,,,,,0.60672800,0.58669359,,
2018,SC G,784182,921342,0,,,,,,,,,,,,0.60095500,0.54021052,,
2018,SD G,161454,172912,0,,,,,,,,,,,,0.49762400,0.51713392,,
2018,TN G,864863,1336106,0,,,,,,,,,,,,0.57982816,0.60705353,,
2018,TX G,3546615,4656196,0,,,,,,,,,,,,0.59962989,0.56763419,,
2020,WA G,2294243,1749066,1,,,,,,,,,,,,0.58260047,0.56741718,,
2018,WI G,1324307,1295080,0,,,,,,,,,,,,0.48319730,0.49442102,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,